anio,mes,lugar,pm25_mgm
2017,Abril,Santa Anita,86.6
2017,Abril,Villa Maria del Triunfo,166.4
2017,Abril,Huachipa,NA
2017,Abril,San Juan de Lurigancho,96.1
2017,Abril,San Martin de Porres,44.6
2017,Abril,Carabayllo,89
2017,Abril,Puente Piedra,120.2
2017,Enero,Ate,132
2017,Enero,San Borja,51
2017,Enero,Jesus Maria (Campo de Marte),NA
2017,Enero,Santa Anita,68
2017,Enero,Villa Maria del Triunfo,158.8
2017,Enero,Huachipa,NA
2017,Enero,San Juan de Lurigancho,86.4
2017,Enero,San Martin de Porres,71.6
2017,Enero,Carabayllo,78.7
2017,Enero,Puente Piedra,130.7
2017,Febrero,Ate,121
2017,Febrero,San Borja,61.6
2017,Febrero,Jesus Maria (Campo de Marte),33.8
2017,Febrero,Santa Anita,NA
2017,Febrero,Villa Maria del Triunfo,176
2017,Febrero,Huachipa,NA
2017,Febrero,San Juan de Lurigancho,97.5
2017,Febrero,San Martin de Porres,54.5
2017,Febrero,Carabayllo,84.7
2017,Febrero,Puente Piedra,130.6
2017,Marzo,Ate,128.5
2017,Marzo,San Borja,NA
2017,Marzo,Jesus Maria (Campo de Marte),29.3
2017,Marzo,Santa Anita,77.7
2017,Marzo,Villa Maria del Triunfo,160.4
2017,Marzo,Huachipa,NA
2017,Marzo,San Juan de Lurigancho,NA
2017,Marzo,San Martin de Porres,41.6
2017,Marzo,Carabayllo,84
2017,Marzo,Puente Piedra,116.2
2019,Abril,Ate,NA
2019,Abril,San Borja,48.8042361111111
2019,Abril,Jesus Maria (Campo de Marte),21.648591954023
2019,Abril,Santa Anita,80.6961934156379
2019,Abril,Villa Maria del Triunfo,NA
2019,Abril,Huachipa,NA
2019,Abril,San Juan de Lurigancho,NA
2019,Abril,San Martin de Porres,NA
2019,Abril,Carabayllo,NA
2019,Abril,Puente Piedra,NA
2019,Agosto,Ate,NA
2019,Agosto,San Borja,NA
2019,Agosto,Jesus Maria (Campo de Marte),26.5511827380952
2019,Agosto,Santa Anita,NA
2019,Agosto,Villa Maria del Triunfo,NA
2019,Agosto,Huachipa,NA
2019,Agosto,San Juan de Lurigancho,NA
2019,Agosto,San Martin de Porres,NA
2019,Agosto,Carabayllo,NA
2019,Agosto,Puente Piedra,NA
2019,Diciembre,Ate,NA
2019,Diciembre,San Borja,NA
2019,Diciembre,Jesus Maria (Campo de Marte),26.3811827956989
2019,Diciembre,Santa Anita,85.1340456989247
2019,Diciembre,Villa Maria del Triunfo,NA
2019,Diciembre,Huachipa,NA
2019,Diciembre,San Juan de Lurigancho,59.4547145061728
2019,Diciembre,San Martin de Porres,NA
2019,Diciembre,Carabayllo,NA
2019,Diciembre,Puente Piedra,NA
2019,Enero,Ate,109.82075268817201
2019,Enero,San Borja,49.2706720430108
2019,Enero,Jesus Maria (Campo de Marte),NA
2019,Enero,Santa Anita,53.4738505747126
2019,Enero,Villa Maria del Triunfo,NA
2019,Enero,Huachipa,NA
2019,Enero,San Juan de Lurigancho,64.6259408602151
2019,Enero,San Martin de Porres,NA
2019,Enero,Carabayllo,NA
2019,Enero,Puente Piedra,NA
2019,Febrero,Ate,78.6842916666667
2019,Febrero,San Borja,56.6540895061728
2019,Febrero,Jesus Maria (Campo de Marte),16.6439136904762
2019,Febrero,Santa Anita,53.432297008547
2019,Febrero,Villa Maria del Triunfo,NA
2019,Febrero,Huachipa,NA
2019,Febrero,San Juan de Lurigancho,75.2524227688787
2019,Febrero,San Martin de Porres,NA
2019,Febrero,Carabayllo,NA
2019,Febrero,Puente Piedra,NA
2019,Julio,Ate,NA
2019,Julio,San Borja,NA
2019,Julio,Jesus Maria (Campo de Marte),24.2372311827957
2019,Julio,Santa Anita,NA
2019,Julio,Villa Maria del Triunfo,NA
2019,Julio,Huachipa,NA
2019,Julio,San Juan de Lurigancho,NA
2019,Julio,San Martin de Porres,NA
2019,Julio,Carabayllo,NA
2019,Julio,Puente Piedra,NA
2019,Junio,Ate,NA
2019,Junio,San Borja,NA
2019,Junio,Jesus Maria (Campo de Marte),28.9453933066362
2019,Junio,Santa Anita,60.3681580536486
2019,Junio,Villa Maria del Triunfo,67.0865539327859
2019,Junio,Huachipa,NA
2019,Junio,San Juan de Lurigancho,NA
2019,Junio,San Martin de Porres,NA
2019,Junio,Carabayllo,NA
2019,Junio,Puente Piedra,NA
2019,Marzo,Ate,NA
2019,Marzo,San Borja,51.0079310344828
2019,Marzo,Jesus Maria (Campo de Marte),18.4860752688172
2019,Marzo,Santa Anita,73.5698908730159
2019,Marzo,Villa Maria del Triunfo,NA
2019,Marzo,Huachipa,NA
2019,Marzo,San Juan de Lurigancho,NA
2019,Marzo,San Martin de Porres,NA
2019,Marzo,Carabayllo,116.238706140351
2019,Marzo,Puente Piedra,NA
2019,Mayo,Ate,NA
2019,Mayo,San Borja,54.6118181818182
2019,Mayo,Jesus Maria (Campo de Marte),31.0003281681881
2019,Mayo,Santa Anita,84.9556644562552
2019,Mayo,Villa Maria del Triunfo,142.423981359649
2019,Mayo,Huachipa,NA
2019,Mayo,San Juan de Lurigancho,NA
2019,Mayo,San Martin de Porres,NA
2019,Mayo,Carabayllo,NA
2019,Mayo,Puente Piedra,NA
2019,Noviembre,Ate,NA
2019,Noviembre,San Borja,NA
2019,Noviembre,Jesus Maria (Campo de Marte),27.8715740740741
2019,Noviembre,Santa Anita,76.07375
2019,Noviembre,Villa Maria del Triunfo,NA
2019,Noviembre,Huachipa,NA
2019,Noviembre,San Juan de Lurigancho,NA
2019,Noviembre,San Martin de Porres,NA
2019,Noviembre,Carabayllo,NA
2019,Noviembre,Puente Piedra,NA
2019,Octubre,Ate,NA
2019,Octubre,San Borja,NA
2019,Octubre,Jesus Maria (Campo de Marte),34.7862967391304
2019,Octubre,Santa Anita,107.779147222222
2019,Octubre,Villa Maria del Triunfo,NA
2019,Octubre,Huachipa,NA
2019,Octubre,San Juan de Lurigancho,64.4549766081871
2019,Octubre,San Martin de Porres,NA
2019,Octubre,Carabayllo,NA
2019,Octubre,Puente Piedra,NA
2019,Setiembre,Ate,NA
2019,Setiembre,San Borja,NA
2019,Setiembre,Jesus Maria (Campo de Marte),30.8139583333333
2019,Setiembre,Santa Anita,108.085307017544
2019,Setiembre,Villa Maria del Triunfo,86.3775972222222
2019,Setiembre,Huachipa,NA
2019,Setiembre,San Juan de Lurigancho,74.3985953947368
2019,Setiembre,San Martin de Porres,NA
2019,Setiembre,Carabayllo,NA
2019,Setiembre,Puente Piedra,NA
2021,Abril,Ate,NA
2021,Abril,San Borja,NA
2021,Abril,Jesus Maria (Campo de Marte),25.0400277777778
2021,Abril,Santa Anita,94.0778894883312
2021,Abril,Villa Maria del Triunfo,NA
2021,Abril,Huachipa,NA
2021,Abril,San Juan de Lurigancho,NA
2021,Abril,San Martin de Porres,NA
2021,Abril,Carabayllo,NA
2021,Abril,Puente Piedra,NA
2021,Agosto,Ate,NA
2021,Agosto,San Borja,67.042
2021,Agosto,Jesus Maria (Campo de Marte),NA
2021,Agosto,Santa Anita,90.2480622876361
2021,Agosto,Villa Maria del Triunfo,NA
2021,Agosto,Huachipa,NA
2021,Agosto,San Juan de Lurigancho,NA
2021,Agosto,San Martin de Porres,NA
2021,Agosto,Carabayllo,52.25015625
2021,Agosto,Puente Piedra,NA
2021,Diciembre,Ate,NA
2021,Diciembre,San Borja,NA
2021,Diciembre,Jesus Maria (Campo de Marte),NA
2021,Diciembre,Santa Anita,NA
2021,Diciembre,Villa Maria del Triunfo,NA
2021,Diciembre,Huachipa,NA
2021,Diciembre,San Juan de Lurigancho,66.8870170076726
2021,Diciembre,San Martin de Porres,30.1103312753623
2021,Diciembre,Carabayllo,NA
2021,Diciembre,Puente Piedra,NA
2021,Enero,Ate,NA
2021,Enero,San Borja,NA
2021,Enero,Jesus Maria (Campo de Marte),15.9692141545894
